variable,f1-score,support,accuracy,roc-auc,thresholds
t_mil,0.853146853146853,137,0.914634146341463,0.951022925876426,0.955
t_loc,0.891891891891892,105,0.951219512195122,0.97994339854805,0.501
t_san,0.73972602739726,35,0.961382113821138,0.881775554860894,0.967
a_rus,0.73469387755102,50,0.947154471544715,0.949185520361991,0.893
a_ukr,0.745098039215686,29,0.973577235772358,0.932300588366724,0.857
a_civ,0.363636363636364,3,0.985772357723577,0.830265848670757,0.217
a_other,0.388888888888889,20,0.955284552845528,0.815254237288136,0.747
t_aad,1,2,1,1,0.075
t_airstrike,0.857142857142857,4,0.997967479674797,0.939036885245902,0.054
t_armor,0,0,1,,0.5
t_arrest,0.636363636363636,8,0.983739837398374,0.985795454545455,0.025
t_artillery,0.888888888888889,34,0.983739837398374,0.991587464680195,0.045
t_control,0.666666666666667,5,0.991869918699187,0.907597535934292,0.017
t_firefight,0.5,3,0.995934959349593,0.972733469665985,0.589
t_ied,1,4,1,1,0.753
t_property,0.571428571428571,11,0.981707317073171,0.929313929313929,0.143
t_raid,0.5,1,0.995934959349593,0.995926680244399,0.065
t_occupy,1,1,1,1,0.059
t_cyber,1,11,1,1,0.044
t_hospital,0,0,1,,0.5
t_milcas,0.8,9,0.99390243902439,0.987807683459857,0.457
t_civcas,0.96,13,0.997967479674797,0.999197045126064,0.968
t_retreat,0.285714285714286,1,0.989837398373984,0.991853360488798,0.005
t_airalert,0.75,5,0.995934959349593,0.807802874743327,0.008
